Date,Name of State / UT,Total Confirmed cases,Death
2020-03-26,Goa,3,0
2020-03-27,Goa,3,0
2020-03-28,Goa,3,0
2020-03-29,Goa,3,0
2020-03-30,Goa,5,0
2020-03-31,Goa,5,0
2020-04-01,Goa,5,0
2020-04-02,Goa,5,0
2020-04-03,Goa,6,0
2020-04-04,Goa,6,0
2020-04-05,Goa,7,0
2020-04-06,Goa,7,0
2020-04-07,Goa,7,0
2020-04-08,Goa,7,0
2020-04-09,Goa,7,0
2020-04-10,Goa,7,0
2020-04-11,Goa,7,0
2020-04-12,Goa,7,0
2020-04-13,Goa,7,0
2020-04-14,Goa,7,0
2020-04-15,Goa,7,0
2020-04-16,Goa,7,0
2020-04-17,Goa,7,0
2020-04-18,Goa,7,0
2020-04-19,Goa,7,0
2020-04-20,Goa,7,0
2020-04-21,Goa,7,0
2020-04-22,Goa,7,0
2020-04-23,Goa,7,0
2020-04-24,Goa,7,0
2020-04-25,Goa,7,0
2020-04-26,Goa,7,0
2020-04-27,Goa,7,0
2020-04-28,Goa,7,0
2020-04-29,Goa,7,0
2020-04-30,Goa,7,0
2020-05-01,Goa,7,0
2020-05-02,Goa,7,0
2020-05-03,Goa,7,0
2020-05-04,Goa,7,0
2020-05-05,Goa,7,0
2020-05-06,Goa,7,0
2020-05-07,Goa,7,0
2020-05-08,Goa,7,0
2020-05-09,Goa,7,0
2020-05-10,Goa,7,0
2020-05-11,Goa,7,0
2020-05-12,Goa,7,0
2020-05-13,Goa,7,0
2020-05-14,Goa,7,0
2020-05-15,Goa,14,0
2020-05-16,Goa,15,0
2020-05-17,Goa,17,0
2020-05-18,Goa,29,0
2020-05-19,Goa,38,0
2020-05-20,Goa,46,0
2020-05-21,Goa,50,0
2020-05-22,Goa,52,0
2020-05-23,Goa,54,0
2020-05-24,Goa,55,0
2020-05-25,Goa,66,0
2020-05-26,Goa,67,0
2020-05-27,Goa,67,0
2020-05-28,Goa,68,0
2020-05-29,Goa,69,0
2020-05-30,Goa,69,0
2020-05-31,Goa,70,0
2020-06-01,Goa,70,0
2020-06-02,Goa,71,0
2020-06-03,Goa,79,0
2020-06-04,Goa,79,0
2020-06-05,Goa,166,0
