Date,Name of State / UT,Total Confirmed cases,Death
2020-03-02,Delhi,1,0
2020-03-03,Delhi,1,0
2020-03-04,Delhi,1,0
2020-03-05,Delhi,2,0
2020-03-06,Delhi,3,0
2020-03-07,Delhi,3,0
2020-03-08,Delhi,3,0
2020-03-09,Delhi,4,0
2020-03-10,Delhi,4,0
2020-03-11,Delhi,5,0
2020-03-12,Delhi,6,0
2020-03-13,Delhi,6,0
2020-03-14,Delhi,7,1
2020-03-15,Delhi,7,1
2020-03-16,Delhi,7,1
2020-03-17,Delhi,8,1
2020-03-18,Delhi,10,1
2020-03-19,Delhi,12,1
2020-03-20,Delhi,17,1
2020-03-21,Delhi,26,1
2020-03-22,Delhi,29,1
2020-03-23,Delhi,29,1
2020-03-24,Delhi,30,2
2020-03-25,Delhi,31,1
2020-03-26,Delhi,36,1
2020-03-27,Delhi,36,1
2020-03-28,Delhi,39,1
2020-03-29,Delhi,39,2
2020-03-30,Delhi,53,2
2020-03-31,Delhi,97,2
2020-04-01,Delhi,152,2
2020-04-02,Delhi,152,2
2020-04-03,Delhi,219,4
2020-04-04,Delhi,386,6
2020-04-05,Delhi,445,6
2020-04-06,Delhi,503,7
2020-04-07,Delhi,523,7
2020-04-08,Delhi,576,9
2020-04-09,Delhi,669,9
2020-04-10,Delhi,720,12
2020-04-11,Delhi,903,13
2020-04-12,Delhi,1069,19
2020-04-13,Delhi,1154,24
2020-04-14,Delhi,1510,28
2020-04-15,Delhi,1561,30
2020-04-16,Delhi,1578,32
2020-04-17,Delhi,1640,38
2020-04-18,Delhi,1707,42
2020-04-19,Delhi,1893,42
2020-04-20,Delhi,2003,45
2020-04-21,Delhi,2081,47
2020-04-22,Delhi,2156,47
2020-04-23,Delhi,2248,48
2020-04-24,Delhi,2376,50
2020-04-25,Delhi,2514,53
2020-04-26,Delhi,2625,54
2020-04-27,Delhi,2918,54
2020-04-28,Delhi,3108,54
2020-04-29,Delhi,3314,54
2020-04-30,Delhi,3439,56
2020-05-01,Delhi,3515,59
2020-05-02,Delhi,3738,61
2020-05-03,Delhi,4122,64
2020-05-04,Delhi,4549,64
2020-05-05,Delhi,4898,64
2020-05-06,Delhi,5104,64
2020-05-07,Delhi,5532,65
2020-05-08,Delhi,5980,66
2020-05-09,Delhi,6318,68
2020-05-10,Delhi,6542,73
2020-05-11,Delhi,6923,73
2020-05-12,Delhi,7233,73
2020-05-13,Delhi,7639,86
2020-05-14,Delhi,7998,106
2020-05-15,Delhi,8470,115
2020-05-16,Delhi,8895,123
2020-05-17,Delhi,9333,129
2020-05-18,Delhi,10054,160
2020-05-19,Delhi,10054,168
2020-05-20,Delhi,10554,168
2020-05-21,Delhi,11088,176
2020-05-22,Delhi,11659,194
2020-05-23,Delhi,12319,208
2020-05-24,Delhi,12910,231
2020-05-25,Delhi,13418,261
2020-05-26,Delhi,14053,276
2020-05-27,Delhi,14465,288
2020-05-28,Delhi,15257,303
2020-05-29,Delhi,16281,316
2020-05-30,Delhi,17386,398
2020-05-31,Delhi,18549,416
2020-06-01,Delhi,19844,473
2020-06-02,Delhi,20834,523
2020-06-03,Delhi,22132,556
2020-06-04,Delhi,23645,606
2020-06-05,Delhi,25004,650
