Date,Name of State / UT,Total Confirmed cases,Death
2020-04-07,Tripura,1,0
2020-04-08,Tripura,1,0
2020-04-09,Tripura,1,0
2020-04-10,Tripura,1,0
2020-04-11,Tripura,1,0
2020-04-12,Tripura,2,0
2020-04-13,Tripura,2,0
2020-04-14,Tripura,2,0
2020-04-15,Tripura,2,0
2020-04-16,Tripura,2,0
2020-04-17,Tripura,2,0
2020-04-18,Tripura,2,0
2020-04-19,Tripura,2,0
2020-04-20,Tripura,2,0
2020-04-21,Tripura,2,0
2020-04-22,Tripura,2,0
2020-04-23,Tripura,2,0
2020-04-24,Tripura,2,0
2020-04-25,Tripura,2,0
2020-04-26,Tripura,2,0
2020-04-27,Tripura,2,0
2020-04-28,Tripura,2,0
2020-04-29,Tripura,2,0
2020-04-30,Tripura,2,0
2020-05-01,Tripura,2,0
2020-05-02,Tripura,2,0
2020-05-03,Tripura,4,0
2020-05-04,Tripura,16,0
2020-05-05,Tripura,29,0
2020-05-06,Tripura,43,0
2020-05-07,Tripura,43,0
2020-05-08,Tripura,65,0
2020-05-09,Tripura,118,0
2020-05-10,Tripura,134,0
2020-05-11,Tripura,150,0
2020-05-12,Tripura,152,0
2020-05-13,Tripura,154,0
2020-05-14,Tripura,155,0
2020-05-15,Tripura,156,0
2020-05-16,Tripura,156,0
2020-05-17,Tripura,167,0
2020-05-18,Tripura,167,0
2020-05-19,Tripura,167,0
2020-05-20,Tripura,173,0
2020-05-21,Tripura,173,0
2020-05-22,Tripura,173,0
2020-05-23,Tripura,175,0
2020-05-24,Tripura,189,0
2020-05-25,Tripura,191,0
2020-05-26,Tripura,194,0
2020-05-27,Tripura,207,0
2020-05-28,Tripura,230,0
2020-05-29,Tripura,242,0
2020-05-30,Tripura,251,0
2020-05-31,Tripura,268,0
2020-06-01,Tripura,313,0
2020-06-02,Tripura,420,0
2020-06-03,Tripura,468,0
2020-06-04,Tripura,468,0
2020-06-05,Tripura,644,0
