Date,Name of State / UT,Total Confirmed cases,Death
2020-01-30,Kerala,1,0
2020-01-31,Kerala,1,0
2020-02-01,Kerala,2,0
2020-02-02,Kerala,3,0
2020-02-03,Kerala,3,0
2020-02-04,Kerala,3,0
2020-02-05,Kerala,3,0
2020-02-06,Kerala,3,0
2020-02-07,Kerala,3,0
2020-02-08,Kerala,3,0
2020-02-09,Kerala,3,0
2020-02-10,Kerala,3,0
2020-02-11,Kerala,3,0
2020-02-12,Kerala,3,0
2020-02-13,Kerala,3,0
2020-02-14,Kerala,3,0
2020-02-15,Kerala,3,0
2020-02-16,Kerala,3,0
2020-02-17,Kerala,3,0
2020-02-18,Kerala,3,0
2020-02-19,Kerala,3,0
2020-02-20,Kerala,3,0
2020-02-21,Kerala,3,0
2020-02-22,Kerala,3,0
2020-02-23,Kerala,3,0
2020-02-24,Kerala,3,0
2020-02-25,Kerala,3,0
2020-02-26,Kerala,3,0
2020-02-27,Kerala,3,0
2020-02-28,Kerala,3,0
2020-02-29,Kerala,3,0
2020-03-01,Kerala,3,0
2020-03-02,Kerala,3,0
2020-03-03,Kerala,3,0
2020-03-04,Kerala,3,0
2020-03-05,Kerala,3,0
2020-03-06,Kerala,3,0
2020-03-07,Kerala,3,0
2020-03-08,Kerala,8,0
2020-03-09,Kerala,9,0
2020-03-10,Kerala,15,0
2020-03-11,Kerala,17,0
2020-03-12,Kerala,17,0
2020-03-13,Kerala,17,0
2020-03-14,Kerala,19,0
2020-03-15,Kerala,23,0
2020-03-16,Kerala,23,0
2020-03-17,Kerala,26,0
2020-03-18,Kerala,27,0
2020-03-19,Kerala,27,0
2020-03-20,Kerala,28,0
2020-03-21,Kerala,40,0
2020-03-22,Kerala,52,0
2020-03-23,Kerala,67,0
2020-03-24,Kerala,95,0
2020-03-25,Kerala,109,0
2020-03-26,Kerala,118,0
2020-03-27,Kerala,137,0
2020-03-28,Kerala,176,0
2020-03-29,Kerala,182,1
2020-03-30,Kerala,194,1
2020-03-31,Kerala,234,1
2020-04-01,Kerala,241,2
2020-04-02,Kerala,265,2
2020-04-03,Kerala,286,2
2020-04-04,Kerala,295,2
2020-04-05,Kerala,306,2
2020-04-06,Kerala,314,2
2020-04-07,Kerala,327,2
2020-04-08,Kerala,336,2
2020-04-09,Kerala,345,2
2020-04-10,Kerala,357,2
2020-04-11,Kerala,364,2
2020-04-12,Kerala,364,2
2020-04-13,Kerala,376,2
2020-04-14,Kerala,379,3
2020-04-15,Kerala,387,3
2020-04-16,Kerala,388,3
2020-04-17,Kerala,395,3
2020-04-18,Kerala,396,3
2020-04-19,Kerala,400,3
2020-04-20,Kerala,402,3
2020-04-21,Kerala,408,3
2020-04-22,Kerala,427,3
2020-04-23,Kerala,438,3
2020-04-24,Kerala,447,3
2020-04-25,Kerala,450,3
2020-04-26,Kerala,457,4
2020-04-27,Kerala,458,4
2020-04-28,Kerala,481,4
2020-04-29,Kerala,485,4
2020-04-30,Kerala,495,4
2020-05-01,Kerala,497,4
2020-05-02,Kerala,497,4
2020-05-03,Kerala,499,4
2020-05-04,Kerala,500,4
2020-05-05,Kerala,500,4
2020-05-06,Kerala,502,4
2020-05-07,Kerala,503,4
2020-05-08,Kerala,503,4
2020-05-09,Kerala,503,4
2020-05-10,Kerala,505,4
2020-05-11,Kerala,512,4
2020-05-12,Kerala,519,4
2020-05-13,Kerala,524,4
2020-05-14,Kerala,534,4
2020-05-15,Kerala,560,4
2020-05-16,Kerala,576,4
2020-05-17,Kerala,587,4
2020-05-18,Kerala,601,4
2020-05-19,Kerala,630,4
2020-05-20,Kerala,642,4
2020-05-21,Kerala,666,4
2020-05-22,Kerala,690,4
2020-05-23,Kerala,732,4
2020-05-24,Kerala,795,4
2020-05-25,Kerala,847,4
2020-05-26,Kerala,896,5
2020-05-27,Kerala,963,6
2020-05-28,Kerala,1004,7
2020-05-29,Kerala,1088,7
2020-05-30,Kerala,1150,8
2020-05-31,Kerala,1208,9
2020-06-01,Kerala,1269,9
2020-06-02,Kerala,1326,10
2020-06-03,Kerala,1412,11
2020-06-04,Kerala,1494,11
2020-06-05,Kerala,1588,14
