Date,Name of State / UT,Total Confirmed cases,Death
2020-03-09,Punjab,1,0
2020-03-10,Punjab,1,0
2020-03-11,Punjab,1,0
2020-03-12,Punjab,1,0
2020-03-13,Punjab,1,0
2020-03-14,Punjab,1,0
2020-03-15,Punjab,1,0
2020-03-16,Punjab,1,0
2020-03-17,Punjab,1,0
2020-03-18,Punjab,1,0
2020-03-19,Punjab,2,1
2020-03-20,Punjab,2,1
2020-03-21,Punjab,13,1
2020-03-22,Punjab,21,1
2020-03-23,Punjab,21,1
2020-03-24,Punjab,29,1
2020-03-25,Punjab,29,1
2020-03-26,Punjab,33,1
2020-03-27,Punjab,33,1
2020-03-28,Punjab,38,1
2020-03-29,Punjab,38,1
2020-03-30,Punjab,38,1
2020-03-31,Punjab,41,3
2020-04-01,Punjab,42,3
2020-04-02,Punjab,46,4
2020-04-03,Punjab,46,4
2020-04-04,Punjab,53,5
2020-04-05,Punjab,57,5
2020-04-06,Punjab,68,6
2020-04-07,Punjab,76,6
2020-04-08,Punjab,91,7
2020-04-09,Punjab,101,8
2020-04-10,Punjab,101,8
2020-04-11,Punjab,132,11
2020-04-12,Punjab,151,11
2020-04-13,Punjab,151,11
2020-04-14,Punjab,176,12
2020-04-15,Punjab,176,12
2020-04-16,Punjab,186,13
2020-04-17,Punjab,186,13
2020-04-18,Punjab,202,13
2020-04-19,Punjab,202,13
2020-04-20,Punjab,219,16
2020-04-21,Punjab,245,16
2020-04-22,Punjab,245,16
2020-04-23,Punjab,251,16
2020-04-24,Punjab,277,16
2020-04-25,Punjab,298,17
2020-04-26,Punjab,298,17
2020-04-27,Punjab,313,18
2020-04-28,Punjab,313,18
2020-04-29,Punjab,322,19
2020-04-30,Punjab,357,19
2020-05-01,Punjab,357,19
2020-05-02,Punjab,480,19
2020-05-03,Punjab,772,20
2020-05-04,Punjab,1102,21
2020-05-05,Punjab,1233,23
2020-05-06,Punjab,1451,25
2020-05-07,Punjab,1516,27
2020-05-08,Punjab,1644,28
2020-05-09,Punjab,1731,29
2020-05-10,Punjab,1762,31
2020-05-11,Punjab,1823,31
2020-05-12,Punjab,1877,31
2020-05-13,Punjab,1914,32
2020-05-14,Punjab,1924,32
2020-05-15,Punjab,1935,32
2020-05-16,Punjab,1935,32
2020-05-17,Punjab,1946,32
2020-05-18,Punjab,1964,35
2020-05-19,Punjab,1980,37
2020-05-20,Punjab,2002,38
2020-05-21,Punjab,2005,38
2020-05-22,Punjab,2028,39
2020-05-23,Punjab,2029,39
2020-05-24,Punjab,2045,39
2020-05-25,Punjab,2060,40
2020-05-26,Punjab,2060,40
2020-05-27,Punjab,2106,40
2020-05-28,Punjab,2139,40
2020-05-29,Punjab,2158,40
2020-05-30,Punjab,2197,42
2020-05-31,Punjab,2233,44
2020-06-01,Punjab,2263,45
2020-06-02,Punjab,2301,45
2020-06-03,Punjab,2342,46
2020-06-04,Punjab,2376,47
2020-06-05,Punjab,2415,47
