Date,Name of State / UT,Total Confirmed cases,Death
2020-03-04,Haryana,14,0
2020-03-05,Haryana,14,0
2020-03-06,Haryana,14,0
2020-03-07,Haryana,14,0
2020-03-08,Haryana,14,0
2020-03-09,Haryana,14,0
2020-03-10,Haryana,14,0
2020-03-11,Haryana,14,0
2020-03-12,Haryana,14,0
2020-03-13,Haryana,14,0
2020-03-14,Haryana,14,0
2020-03-15,Haryana,14,0
2020-03-16,Haryana,14,0
2020-03-17,Haryana,15,0
2020-03-18,Haryana,17,0
2020-03-19,Haryana,17,0
2020-03-20,Haryana,17,0
2020-03-21,Haryana,17,0
2020-03-22,Haryana,21,0
2020-03-23,Haryana,26,0
2020-03-24,Haryana,28,0
2020-03-25,Haryana,28,0
2020-03-26,Haryana,30,0
2020-03-27,Haryana,30,0
2020-03-28,Haryana,33,0
2020-03-29,Haryana,33,0
2020-03-30,Haryana,33,0
2020-03-31,Haryana,40,0
2020-04-01,Haryana,43,0
2020-04-02,Haryana,43,0
2020-04-03,Haryana,43,0
2020-04-04,Haryana,49,0
2020-04-05,Haryana,49,0
2020-04-06,Haryana,84,1
2020-04-07,Haryana,90,1
2020-04-08,Haryana,147,3
2020-04-09,Haryana,147,3
2020-04-10,Haryana,169,3
2020-04-11,Haryana,177,3
2020-04-12,Haryana,177,3
2020-04-13,Haryana,185,3
2020-04-14,Haryana,199,3
2020-04-15,Haryana,199,3
2020-04-16,Haryana,205,3
2020-04-17,Haryana,205,3
2020-04-18,Haryana,225,3
2020-04-19,Haryana,225,3
2020-04-20,Haryana,233,3
2020-04-21,Haryana,254,3
2020-04-22,Haryana,254,3
2020-04-23,Haryana,262,3
2020-04-24,Haryana,272,3
2020-04-25,Haryana,272,3
2020-04-26,Haryana,289,3
2020-04-27,Haryana,289,3
2020-04-28,Haryana,296,3
2020-04-29,Haryana,310,3
2020-04-30,Haryana,310,3
2020-05-01,Haryana,313,3
2020-05-02,Haryana,360,4
2020-05-03,Haryana,360,4
2020-05-04,Haryana,442,5
2020-05-05,Haryana,517,6
2020-05-06,Haryana,548,6
2020-05-07,Haryana,594,7
2020-05-08,Haryana,625,7
2020-05-09,Haryana,647,8
2020-05-10,Haryana,675,9
2020-05-11,Haryana,703,10
2020-05-12,Haryana,730,11
2020-05-13,Haryana,780,11
2020-05-14,Haryana,793,11
2020-05-15,Haryana,818,11
2020-05-16,Haryana,818,11
2020-05-17,Haryana,887,13
2020-05-18,Haryana,910,14
2020-05-19,Haryana,928,14
2020-05-20,Haryana,964,14
2020-05-21,Haryana,993,14
2020-05-22,Haryana,1031,15
2020-05-23,Haryana,1067,16
2020-05-24,Haryana,1131,16
2020-05-25,Haryana,1184,16
2020-05-26,Haryana,1184,16
2020-05-27,Haryana,1305,17
2020-05-28,Haryana,1381,18
2020-05-29,Haryana,1504,19
2020-05-30,Haryana,1721,19
2020-05-31,Haryana,1923,20
2020-06-01,Haryana,2091,20
2020-06-02,Haryana,2356,21
2020-06-03,Haryana,2652,23
2020-06-04,Haryana,2954,23
2020-06-05,Haryana,3281,24
