Date,Name of State / UT,Total Confirmed cases,Death
2020-03-21,Chandigarh,1,0
2020-03-22,Chandigarh,5,0
2020-03-23,Chandigarh,6,0
2020-03-24,Chandigarh,7,0
2020-03-25,Chandigarh,7,0
2020-03-26,Chandigarh,7,0
2020-03-27,Chandigarh,7,0
2020-03-28,Chandigarh,8,0
2020-03-29,Chandigarh,8,0
2020-03-30,Chandigarh,8,0
2020-03-31,Chandigarh,13,0
2020-04-01,Chandigarh,16,0
2020-04-02,Chandigarh,16,0
2020-04-03,Chandigarh,18,0
2020-04-04,Chandigarh,18,0
2020-04-05,Chandigarh,18,0
2020-04-06,Chandigarh,18,0
2020-04-07,Chandigarh,18,0
2020-04-08,Chandigarh,18,0
2020-04-09,Chandigarh,18,0
2020-04-10,Chandigarh,18,0
2020-04-11,Chandigarh,18,0
2020-04-12,Chandigarh,19,0
2020-04-13,Chandigarh,21,0
2020-04-14,Chandigarh,21,0
2020-04-15,Chandigarh,21,0
2020-04-16,Chandigarh,21,0
2020-04-17,Chandigarh,21,0
2020-04-18,Chandigarh,21,0
2020-04-19,Chandigarh,23,0
2020-04-20,Chandigarh,26,0
2020-04-21,Chandigarh,26,0
2020-04-22,Chandigarh,27,0
2020-04-23,Chandigarh,27,0
2020-04-24,Chandigarh,27,0
2020-04-25,Chandigarh,27,0
2020-04-26,Chandigarh,28,0
2020-04-27,Chandigarh,30,0
2020-04-28,Chandigarh,40,0
2020-04-29,Chandigarh,56,0
2020-04-30,Chandigarh,56,0
2020-05-01,Chandigarh,56,0
2020-05-02,Chandigarh,88,0
2020-05-03,Chandigarh,88,0
2020-05-04,Chandigarh,94,0
2020-05-05,Chandigarh,102,1
2020-05-06,Chandigarh,111,1
2020-05-07,Chandigarh,120,1
2020-05-08,Chandigarh,135,1
2020-05-09,Chandigarh,150,1
2020-05-10,Chandigarh,169,2
2020-05-11,Chandigarh,169,2
2020-05-12,Chandigarh,174,2
2020-05-13,Chandigarh,187,3
2020-05-14,Chandigarh,187,3
2020-05-15,Chandigarh,191,3
2020-05-16,Chandigarh,191,3
2020-05-17,Chandigarh,191,3
2020-05-18,Chandigarh,191,3
2020-05-19,Chandigarh,196,3
2020-05-20,Chandigarh,200,3
2020-05-21,Chandigarh,202,3
2020-05-22,Chandigarh,217,3
2020-05-23,Chandigarh,218,3
2020-05-24,Chandigarh,225,3
2020-05-25,Chandigarh,238,3
2020-05-26,Chandigarh,238,3
2020-05-27,Chandigarh,266,4
2020-05-28,Chandigarh,279,4
2020-05-29,Chandigarh,288,4
2020-05-30,Chandigarh,289,4
2020-05-31,Chandigarh,289,4
2020-06-01,Chandigarh,293,4
2020-06-02,Chandigarh,294,4
2020-06-03,Chandigarh,301,5
2020-06-04,Chandigarh,301,5
2020-06-05,Chandigarh,301,5
