Date,Name of State / UT,Total Confirmed cases,Death
2020-03-02,Telengana,1,0
2020-03-03,Telengana,1,0
2020-03-04,Telengana,1,0
2020-03-05,Telengana,1,0
2020-03-06,Telengana,1,0
2020-03-07,Telengana,1,0
2020-03-08,Telengana,1,0
2020-03-09,Telengana,1,0
2020-03-10,Telengana,1,0
2020-03-11,Telengana,1,0
2020-03-12,Telengana,1,0
2020-03-13,Telengana,1,0
2020-03-14,Telengana,1,0
2020-03-15,Telengana,3,0
2020-03-16,Telengana,3,0
2020-03-17,Telengana,5,0
2020-03-18,Telengana,6,0
2020-03-19,Telengana,6,0
2020-03-20,Telengana,16,0
2020-03-21,Telengana,21,0
2020-03-22,Telengana,22,0
2020-03-23,Telengana,32,0
2020-03-24,Telengana,35,0
2020-03-25,Telengana,35,0
2020-03-26,Telengana,44,0
2020-03-27,Telengana,45,0
2020-03-28,Telengana,56,0
2020-03-29,Telengana,66,1
2020-03-30,Telengana,69,1
2020-03-31,Telengana,79,1
2020-04-01,Telengana,96,3
2020-04-02,Telengana,96,3
2020-04-03,Telengana,107,3
2020-04-04,Telengana,158,7
2020-04-05,Telengana,269,7
2020-04-06,Telengana,321,7
2020-04-07,Telengana,321,7
2020-04-08,Telengana,364,7
2020-04-09,Telengana,427,7
2020-04-10,Telengana,442,7
2020-04-11,Telengana,473,7
2020-04-12,Telengana,504,9
2020-04-13,Telengana,504,9
2020-04-14,Telengana,624,17
2020-04-15,Telengana,624,17
2020-04-16,Telengana,647,18
2020-04-17,Telengana,743,18
2020-04-18,Telengana,766,18
2020-04-19,Telengana,809,18
2020-04-20,Telengana,844,18
2020-04-21,Telengana,873,23
2020-04-22,Telengana,928,23
2020-04-23,Telengana,945,23
2020-04-24,Telengana,960,24
2020-04-25,Telengana,984,26
2020-04-26,Telengana,991,26
2020-04-27,Telengana,1002,26
2020-04-28,Telengana,1004,26
2020-04-29,Telengana,1004,26
2020-04-30,Telengana,1012,26
2020-05-01,Telengana,1038,26
2020-05-02,Telengana,1039,26
2020-05-03,Telengana,1063,28
2020-05-04,Telengana,1082,29
2020-05-05,Telengana,1085,29
2020-05-06,Telengana,1096,29
2020-05-07,Telengana,1107,29
2020-05-08,Telengana,1123,29
2020-05-09,Telengana,1133,29
2020-05-10,Telengana,1163,30
2020-05-11,Telengana,1196,30
2020-05-12,Telengana,1275,30
2020-05-13,Telengana,1326,32
2020-05-14,Telengana,1367,34
2020-05-15,Telengana,1414,34
2020-05-16,Telengana,1454,34
2020-05-17,Telengana,1509,34
2020-05-18,Telengana,1551,34
2020-05-19,Telengana,1597,35
2020-05-20,Telengana,1634,38
2020-05-21,Telengana,1661,40
2020-05-22,Telengana,1699,45
2020-05-23,Telengana,1761,45
2020-05-24,Telengana,1813,49
2020-05-25,Telengana,1854,53
2020-05-26,Telengana,1920,56
2020-05-27,Telengana,1991,57
2020-05-28,Telengana,2098,63
2020-05-29,Telengana,2256,67
2020-05-30,Telengana,2425,71
2020-05-31,Telengana,2499,77
2020-06-01,Telengana,2698,82
2020-06-02,Telengana,2792,88
2020-06-03,Telengana,2891,92
2020-06-04,Telengana,3020,99
2020-06-05,Telengana,3147,105
