Date,Name of State / UT,Total Confirmed cases,Death
2020-03-15,Uttarakhand,1,0
2020-03-16,Uttarakhand,1,0
2020-03-17,Uttarakhand,1,0
2020-03-18,Uttarakhand,1,0
2020-03-19,Uttarakhand,1,0
2020-03-20,Uttarakhand,1,0
2020-03-21,Uttarakhand,3,0
2020-03-22,Uttarakhand,3,0
2020-03-23,Uttarakhand,3,0
2020-03-24,Uttarakhand,4,0
2020-03-25,Uttarakhand,4,0
2020-03-26,Uttarakhand,5,0
2020-03-27,Uttarakhand,5,0
2020-03-28,Uttarakhand,5,0
2020-03-29,Uttarakhand,6,0
2020-03-30,Uttarakhand,7,0
2020-03-31,Uttarakhand,7,0
2020-04-01,Uttarakhand,7,0
2020-04-02,Uttarakhand,7,0
2020-04-03,Uttarakhand,10,0
2020-04-04,Uttarakhand,16,0
2020-04-05,Uttarakhand,22,0
2020-04-06,Uttarakhand,26,0
2020-04-07,Uttarakhand,31,0
2020-04-08,Uttarakhand,31,0
2020-04-09,Uttarakhand,33,0
2020-04-10,Uttarakhand,35,0
2020-04-11,Uttarakhand,35,0
2020-04-12,Uttarakhand,35,0
2020-04-13,Uttarakhand,35,0
2020-04-14,Uttarakhand,35,0
2020-04-15,Uttarakhand,37,0
2020-04-16,Uttarakhand,37,0
2020-04-17,Uttarakhand,37,0
2020-04-18,Uttarakhand,40,0
2020-04-19,Uttarakhand,42,0
2020-04-20,Uttarakhand,44,0
2020-04-21,Uttarakhand,46,0
2020-04-22,Uttarakhand,46,0
2020-04-23,Uttarakhand,46,0
2020-04-24,Uttarakhand,47,0
2020-04-25,Uttarakhand,48,0
2020-04-26,Uttarakhand,48,0
2020-04-27,Uttarakhand,50,0
2020-04-28,Uttarakhand,51,0
2020-04-29,Uttarakhand,54,0
2020-04-30,Uttarakhand,55,0
2020-05-01,Uttarakhand,57,0
2020-05-02,Uttarakhand,58,0
2020-05-03,Uttarakhand,59,0
2020-05-04,Uttarakhand,60,0
2020-05-05,Uttarakhand,60,1
2020-05-06,Uttarakhand,61,1
2020-05-07,Uttarakhand,61,1
2020-05-08,Uttarakhand,61,1
2020-05-09,Uttarakhand,63,1
2020-05-10,Uttarakhand,67,1
2020-05-11,Uttarakhand,68,1
2020-05-12,Uttarakhand,68,1
2020-05-13,Uttarakhand,69,1
2020-05-14,Uttarakhand,72,1
2020-05-15,Uttarakhand,78,1
2020-05-16,Uttarakhand,82,1
2020-05-17,Uttarakhand,88,1
2020-05-18,Uttarakhand,92,1
2020-05-19,Uttarakhand,93,1
2020-05-20,Uttarakhand,111,1
2020-05-21,Uttarakhand,122,1
2020-05-22,Uttarakhand,146,1
2020-05-23,Uttarakhand,153,1
2020-05-24,Uttarakhand,244,2
2020-05-25,Uttarakhand,317,3
2020-05-26,Uttarakhand,349,3
2020-05-27,Uttarakhand,401,4
2020-05-28,Uttarakhand,469,4
2020-05-29,Uttarakhand,500,4
2020-05-30,Uttarakhand,716,5
2020-05-31,Uttarakhand,749,5
2020-06-01,Uttarakhand,907,5
2020-06-02,Uttarakhand,958,6
2020-06-03,Uttarakhand,1043,7
2020-06-04,Uttarakhand,1085,8
2020-06-05,Uttarakhand,1153,10
