Date,Name of State / UT,Total Confirmed cases,Death
2020-05-06,Dadar Nagar Haveli,1,0
2020-05-07,Dadar Nagar Haveli,1,0
2020-05-08,Dadar Nagar Haveli,1,0
2020-05-09,Dadar Nagar Haveli,1,0
2020-05-10,Dadar Nagar Haveli,1,0
2020-05-11,Dadar Nagar Haveli,1,0
2020-05-12,Dadar Nagar Haveli,1,0
2020-05-13,Dadar Nagar Haveli,1,0
2020-05-14,Dadar Nagar Haveli,1,0
2020-05-15,Dadar Nagar Haveli,1,0
2020-05-16,Dadar Nagar Haveli,1,0
2020-05-17,Dadar Nagar Haveli,1,0
2020-05-18,Dadar Nagar Haveli,1,0
2020-05-19,Dadar Nagar Haveli,1,0
2020-05-20,Dadar Nagar Haveli,1,0
2020-05-21,Dadar Nagar Haveli,1,0
2020-05-22,Dadar Nagar Haveli,1,0
2020-05-23,Dadar Nagar Haveli,1,0
2020-05-24,Dadar Nagar Haveli,2,0
2020-05-25,Dadar Nagar Haveli,2,0
2020-05-26,Dadar Nagar Haveli,2,0
2020-05-27,Dadar Nagar Haveli,2,0
2020-05-28,Dadar Nagar Haveli,2,0
2020-05-29,Dadar Nagar Haveli,2,0
2020-05-30,Dadar Nagar Haveli,2,0
2020-05-31,Dadar Nagar Haveli,2,0
2020-06-01,Dadar Nagar Haveli,2,0
2020-06-02,Dadar Nagar Haveli,3,0
2020-06-03,Dadar Nagar Haveli,4,0
2020-06-04,Dadar Nagar Haveli,8,0
2020-06-05,Dadar Nagar Haveli,12,0
