Date,Name of State / UT,Total Confirmed cases,Death
2020-03-21,Jammu and Kashmir,4,0
2020-03-22,Jammu and Kashmir,4,0
2020-03-23,Jammu and Kashmir,4,0
2020-03-24,Jammu and Kashmir,4,0
2020-03-25,Jammu and Kashmir,7,0
2020-03-26,Jammu and Kashmir,13,1
2020-03-27,Jammu and Kashmir,13,1
2020-03-28,Jammu and Kashmir,20,1
2020-03-29,Jammu and Kashmir,31,1
2020-03-30,Jammu and Kashmir,31,2
2020-03-31,Jammu and Kashmir,54,2
2020-04-01,Jammu and Kashmir,62,2
2020-04-02,Jammu and Kashmir,62,2
2020-04-03,Jammu and Kashmir,70,2
2020-04-04,Jammu and Kashmir,75,2
2020-04-05,Jammu and Kashmir,92,2
2020-04-06,Jammu and Kashmir,106,2
2020-04-07,Jammu and Kashmir,109,2
2020-04-08,Jammu and Kashmir,116,2
2020-04-09,Jammu and Kashmir,158,4
2020-04-10,Jammu and Kashmir,158,4
2020-04-11,Jammu and Kashmir,207,4
2020-04-12,Jammu and Kashmir,207,4
2020-04-13,Jammu and Kashmir,245,4
2020-04-14,Jammu and Kashmir,270,4
2020-04-15,Jammu and Kashmir,278,4
2020-04-16,Jammu and Kashmir,300,4
2020-04-17,Jammu and Kashmir,314,4
2020-04-18,Jammu and Kashmir,328,5
2020-04-19,Jammu and Kashmir,341,5
2020-04-20,Jammu and Kashmir,350,5
2020-04-21,Jammu and Kashmir,368,5
2020-04-22,Jammu and Kashmir,380,5
2020-04-23,Jammu and Kashmir,407,5
2020-04-24,Jammu and Kashmir,427,5
2020-04-25,Jammu and Kashmir,454,5
2020-04-26,Jammu and Kashmir,494,6
2020-04-27,Jammu and Kashmir,523,6
2020-04-28,Jammu and Kashmir,546,7
2020-04-29,Jammu and Kashmir,565,8
2020-04-30,Jammu and Kashmir,581,8
2020-05-01,Jammu and Kashmir,614,8
2020-05-02,Jammu and Kashmir,639,8
2020-05-03,Jammu and Kashmir,666,8
2020-05-04,Jammu and Kashmir,701,8
2020-05-05,Jammu and Kashmir,726,8
2020-05-06,Jammu and Kashmir,741,8
2020-05-07,Jammu and Kashmir,775,8
2020-05-08,Jammu and Kashmir,793,9
2020-05-09,Jammu and Kashmir,823,9
2020-05-10,Jammu and Kashmir,836,9
2020-05-11,Jammu and Kashmir,861,9
2020-05-12,Jammu and Kashmir,879,10
2020-05-13,Jammu and Kashmir,934,10
2020-05-14,Jammu and Kashmir,971,11
2020-05-15,Jammu and Kashmir,983,11
2020-05-16,Jammu and Kashmir,1013,11
2020-05-17,Jammu and Kashmir,1121,12
2020-05-18,Jammu and Kashmir,1183,13
2020-05-19,Jammu and Kashmir,1289,15
2020-05-20,Jammu and Kashmir,1317,17
2020-05-21,Jammu and Kashmir,1390,18
2020-05-22,Jammu and Kashmir,1449,20
2020-05-23,Jammu and Kashmir,1489,20
2020-05-24,Jammu and Kashmir,1569,21
2020-05-25,Jammu and Kashmir,1621,21
2020-05-26,Jammu and Kashmir,1668,23
2020-05-27,Jammu and Kashmir,1759,24
2020-05-28,Jammu and Kashmir,1921,26
2020-05-29,Jammu and Kashmir,2036,27
2020-05-30,Jammu and Kashmir,2164,28
2020-05-31,Jammu and Kashmir,2341,28
2020-06-01,Jammu and Kashmir,2446,28
2020-06-02,Jammu and Kashmir,2601,31
2020-06-03,Jammu and Kashmir,2718,33
2020-06-04,Jammu and Kashmir,2857,34
2020-06-05,Jammu and Kashmir,3142,35
